Det,etie_nomtienda_0,ID pedido,Sum_Cant piezas,Fecha de entrega,Estatus,Venta Neta,Fin de captura
3852,PLATEROS,27808643,41,6/10/2019 15:00,7,783.4169565,5/10/2019 11:00
3631,TONALA,27808704,1,6/10/2019 20:00,7,432.95,5/10/2019 11:10
3845,UNIVERSIDAD,27810674,29,6/10/2019 20:00,7,990.2569565,5/10/2019 15:19
4048,MERIDA PENSIONES,27811394,35,6/10/2019 20:00,7,767.36,5/10/2019 16:35
3877,TORRES DE LINDA VISTA,27812523,2,6/10/2019 12:00,7,171.55,2/10/2019 9:31
3721,AVILA CAMACHO,27812524,1,6/10/2019 12:00,7,171.55,2/10/2019 10:57
2379,CULIACAN,27812527,2,6/10/2019 9:00,7,0,2/10/2019 12:55
1770,PATIO SANTA FE,27812529,2,6/10/2019 16:00,7,199,2/10/2019 13:23
1032,LOMAS VERDES,27812530,1,6/10/2019 15:00,7,215.52,2/10/2019 14:15
2342,VALLARTA,27812531,1,6/10/2019 11:00,7,1284.48,2/10/2019 14:28
2079,CD. JARDIN,27812533,15,6/10/2019 9:00,7,699.5169565,1/10/2019 23:39
1107,IXTAPALUCA,27812534,1,6/10/2019 17:00,7,300.95,2/10/2019 14:42
3852,PLATEROS,27812540,1,6/10/2019 13:00,7,227.59,2/10/2019 21:23
3886,LAS ANIMAS,27812544,6,6/10/2019 11:00,7,147.5469565,3/10/2019 18:34
4048,MERIDA PENSIONES,27812547,2,6/10/2019 17:00,7,126,3/10/2019 22:12
2079,CD. JARDIN,27812548,33,6/10/2019 18:00,7,581.82,3/10/2019 19:01
2079,CD. JARDIN,27812550,12,6/10/2019 11:00,7,340.7769565,3/10/2019 14:23
1580,EL ROSARIO,27812552,34,6/10/2019 11:00,7,1007,2/10/2019 10:27
3895,TEPIC,27812553,3,6/10/2019 15:00,7,212.92,4/10/2019 0:52
3588,PARAISO CUERNAVACA,27812554,26,6/10/2019 12:00,7,1079.45,2/10/2019 15:32
2356,QUERETARO,27812555,15,6/10/2019 9:00,7,230.1869565,3/10/2019 18:39
